_id,brand,variety,style,country,stars,top_ten
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4
2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75
2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2
2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25
2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5
2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5
2460,Daifuku,Katsuo Bowl Udon,Bowl,USA,5
2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5
2458,Samyang Foods,Sari Ramen,Pack,South Korea,0
2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5
2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25
2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5
2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25
2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5
2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5
2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4
2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5
2448,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5
2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3
2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5
2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25
2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5
2443,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75
2442,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5
2441,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5
2440,Master Kong,Roasted Pork Noodle,Pack,China,4.5
2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5
2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5
2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5
2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75
2435,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5
2434,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25
2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75
2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5
